loss,params,time
-0.4901185770750988,"{'activation': 'sigmoid', 'batch_size': 256, 'dropout1': 0.3, 'dropout2': 0.3, 'nb_epochs': 100, 'optimizer': 'adadelta', 'units1': 64, 'units2': 256, 'units3': 8, 'units4': 128}",309.95748869999807
-0.48221343873517786,"{'activation': 'relu', 'batch_size': 128, 'dropout1': 0.3, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 256, 'units2': 64, 'units3': 512, 'units4': 512}",1501.991044399998
-0.49407114624505927,"{'activation': 'sigmoid', 'batch_size': 256, 'dropout1': 0.4, 'dropout2': 0.4, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 64, 'units2': 16, 'units3': 64, 'units4': 256}",212.05900439999823
-0.4901185770750988,"{'activation': 'relu', 'batch_size': 256, 'dropout1': 0.1, 'dropout2': 0.3, 'nb_epochs': 100, 'optimizer': 'adadelta', 'units1': 128, 'units2': 32, 'units3': 256, 'units4': 128}",328.2309162999991
-0.48616600790513836,"{'activation': 'sigmoid', 'batch_size': 512, 'dropout1': 0.3, 'dropout2': 0.1, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 64, 'units2': 8, 'units3': 16, 'units4': 64}",183.58013669999855
-0.466403162055336,"{'activation': 'sigmoid', 'batch_size': 128, 'dropout1': 0.4, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 256, 'units2': 64, 'units3': 32, 'units4': 512}",767.0678088000022
-0.4901185770750988,"{'activation': 'relu', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adadelta', 'units1': 128, 'units2': 128, 'units3': 512, 'units4': 128}",337.09147640000083
-0.48616600790513836,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.1, 'dropout2': 0.3, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 64, 'units2': 16, 'units3': 8, 'units4': 256}",214.36778240000058
-0.4505928853754941,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.3, 'dropout2': 0.4, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 512, 'units2': 32, 'units3': 64, 'units4': 128}",664.3763708000006
-0.4980237154150198,"{'activation': 'sigmoid', 'batch_size': 128, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 256, 'units2': 8, 'units3': 32, 'units4': 64}",296.83364079999956
-0.4901185770750988,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.4, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adadelta', 'units1': 512, 'units2': 64, 'units3': 256, 'units4': 128}",715.1264119000007
-0.48616600790513836,"{'activation': 'relu', 'batch_size': 512, 'dropout1': 0.2, 'dropout2': 0.1, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 128, 'units2': 256, 'units3': 512, 'units4': 256}",177.73799729999882
